Title,Est Release Year,Operating System
"Body Language: Digestive, Urinary and Reproductive System",1986,Apple II
Body Language: Muscular and Respiratory System,1986,Apple II
Body Language: Skeletal System,1986,Apple II
Body Works: 4.0 & Home Medical Advisor Pro Combo Pack,2001,Windows 95/98/ME/XP
Bodyworks 5.0,1995,Windows 3.1 or higher
Boggle,1997,Windows 95
Boggle,1997,Windows 95
Boiling Point,2005,Windows 2000/XP
Book Worm,2002,Windows & Mac
Book Worm Deluxe!,2019,Windows
Bookworm Adventures,2006,Windows
Borderlands,2009,Windows
Borderlands 2,2012,Windows XP/7/8
Borderlands 2 Game of the Year Edition,2013,Windows XP/7/8
Borderlands Double Game Add-On Pack,2010,Windows
Borderlands The Pre-Sequel,2014,Windows XP SP3
Bricks,1996,Windows 95/3.1/Mac
Bridge Baron II,2000,Windows 95/98/NT4.0 & Mac
Brink,2011,Windows Vista/XP/7
British Open Championship Golf,1998,Windows 95/98
Broken Sword: The Smoking Mirror,1997,Windows 95
Brothers in Arms Earned in Blood,2005,Windows 2000/XP
Brothers in Arms: Hell’s Highway,2008,Windows XP SP3/Vista SP1
Brothers in Arms: Road to Hill 30,2005,Windows 2000/XP
Brothers in Arms: Road to Hill 30,2005,Windows 2000/XP
Browning Hunting Game,1999,Windows 95/98
Brunswick Circuit Pro Bowling,1998,Windows 95
Brutal,2016,Windows 7
Bubble Town,2009,Windows
Bugdom,2002,Windows 98/ME
Busytown Best Activity Center Ever,1999,Windows 95/98/Mac
Busytown Best Activity Center Ever,1998,Windows 95/98
Cabbage Patch Kids Cuddle ‘n Care,2000,Windows 95/98
Cabela’s 4×4 Off-Road Adventure,2001,Windows 95/98/ME
Cabela’s Big Game Hunter Open Season,2002,Windows 95/98/ME/2000/XP
Cabela’s Dangerous Hunts,2004,Windows 98/ME/2000/XP
Cable One. Net,2002,Windows 95/98/2000/NT/ME/XP
Caesar 2,1996,Windows
Caesar 3,1998,Windows
Caillou Magic Playhouse,2001,Windows and Mac
Caillou Thinking Skills,2003,Windows 98/ME/2000/XP
Cake Maria Deluxe,2007,Windows 98SE/ME/2000/XP
Call of Duty,2003,Windows
Call of Duty 2 Game of The Year Edition,2005,Windows 2000/XP
Call of Duty 4: Modern Warfare,2007,Windows XP/Vista
Call of Duty 4: Modern Warfare,2007,Windows XP/Vista
Call of Duty 4: Modern Warfare,2007,Windows XP/Vista
Call of Duty Advanced Warfare,2014,Windows 7/8/8.1
Call of Duty Black Ops,2010,Windows Vista/XP/7
Call of Duty Ghosts,2013,Windows 7/8
Call of Duty Infinite Warfare,2016,Windows 7 or Later
Call of Duty Infinite Warfare,2016,Windows 7
Call of Duty Modern Warefare 2,2009,Windows Vista/XP
Call of Duty: Deluxe Box Set,2005,Windows 98/ME
Call of Duty: United Defense Expansion Pack,2004,Windows 98/Me/2000/XP
Call of Jarez,2007,Windows 2000/XP/Vista
Call to Power II,2000,Windows
Campus Student Life Simulation,2007,Windows 2000/XP/Vista
Card Games,2002,Palm OS and Windows CE
Care Bears: Care-a-Lot Jamboree,2003,Windows 98/ME/2000/XP
Carlton Cards CreataParty!,1999,Windows 95/98
Carmageddon,1997,Windows
Carmageddon 2: Carpocalypse Now,1998,Windows 95/98
Carmageddon High Octane,1998,DOS
Carmen Sandiego Junior Detective,1995,Windows/Mac
Carmen Sandiego’s Great Chase,1999,Windows 3.1/95/98
Carrier Fortress at Sea,1996,DOS 3.1
Cars Radiator Springs Adventures,2006,Windows 98/ME/2000/XP and Mac OSX 10.3
Cars Radiator Springs Adventures,2006,Windows 98/ME/2000/XP or Mac OS 10.3
Casino Empire,2002,Windows
Casino Master,1998,Windows
Casper the Interactive Adventure,1997,Windows 95/98
Castle,2013,Windows XP/Vista/7/8 and MacOS X 10.6
CatDog: Quest for the Golden Hydrent,1999,Windows 95/98
Catepillar,2006,Windows 98/ME/2000/XP
Caterpillar Adventures in Time,2000,Windows
Caterpillar Big Dirt Movers,1999,Windows 95/98
Catz,1996,Windows
CD Fonts!,1995,Windows
Celebrity Deathmatch,2003,Windows 98/ME/2000/XP
Championship Chess,1997,Windows 3.1/95
Chess Mates,1998,Windows
Chess Mega Database 2002,2002,Windows 95
Chessmaster 10th Edition,2004,Windows 98/ME/XP
Chessmaster 10th Edition,2004,Windows XP
Chessmaster 5000,1999,Windows 95/98
Chessmaster 8000,2001,Windows 95/98
Chicken Hunter,2004,Windows 98/98SE/ME/2000/XP
Chris Sawyer’s Locomotion,2004,Windows 98/Me/2000/XP
Christian Games,1999,Windows 95/98
Chuzzle Deluxe,2006,Windows 98ME/2000/XP
CIA Operative,2015,Windows 95/98/ME
Circuit City Binder,??,??
City Life 2008 Edition,2008,Windows 2000 SP2/XP/Vista
City of Heroes Going Rogue,2010,Windows XP/Vista/7
City Trader,2001,Windows 95/98/2000
CivCity Rome,2006,Windows 2000/XP
Civilization II,1996,Windows
Civization II Gold Edition,1998,Windows 95/98
Clandestiny,1996,Windows
Classic Oldies: PC Karaoke,1993,DOS
Clickart 10000,1999,Windows 3.1/95/98
Clifford the Big Red Dog Thinking Adventures,2000,Windows 98/2000/Me/XP and Mac
ClipArt Volume 2,1999,Windows 95/98
Close Combat Trilogy,1999,Windows
Clue Classic,2008,Windows XP/Vista
Clue Finders 3rd Grade Adventures,2000,Windows and Mac
Clue Finders 4th Grade Adventures,2000,Windows and Mac
Coastal Heroes,2002,Windows 98/ME/XP
Code Blue,2000,Windows 95/98 & Mac
Code Blue Critical Condition,2001,Windows 95/98
Codename: Panzers Phase One,2004,Windows 98/2000/ME/XP
Colin Mcrae Rally 2.0,2000,Windows
Colin Mcrae Rally 2005,2004,Windows 98SE/ME/2000/XP
Comand Conquer: Red Alerts 3,2008,Windows XP SP 2/Vista
Combat Flight Simulator 3,2003,Windows 2000/XP Windows 98/ME
Combat Mission II Special Edition,2003,Windows
Combat Mission Shock Force,2007,Windows XP
Combat Wins: Battle of Britain,2008,Windows 98/ME/2000/XP
Commanche 3,1997,DOS/ Windows 95
Command & Conquer 3 Tiberium Wars,2007,Windows XP/Vista
Command & Conquer Generals,2003,Windows
Command & Conquer Red Alert 2,2000,Windows 95/98/ME/2000
Command & Conquer Yuri’s Revenge,2001,Windows 95/98/ME/2000
Command & Conquer: The First Decade,2006,Windows XP
Command and Conquer,1996,Windows 95
Command and Conquer Generals Zero Hour,2003,Windows 98/ME/2000/XP
Command and Conquer Generals: Deluxe Edition,2005,Windows
Command and Conquer Red Alert,1997,Windows
Command and Conquer Red Alert 2 Soviet & Allied Discs,2000,Windows
Command and Conquer The First Decade,2006,Windows XP
Command and Conquer Tiberian Sun,1999,Windows 95/98/NT
Command and Conquer Tiberian Sun,1999,Windows 95/98/NT
Commandos 2: Men of Courage,2001,Windows 95/98/ME
Commandos 3,2003,Windows 98SE/ME/2000/XP
Commandos: Behind Enemy Lines,1998,Windows 95/98
Company of Heroes,2006,Windows XP/Vista
Company of Heroes Opposing Fronts,2007,Windows XP/Vista
Compaq Carbon Copy 32,1997,Windows 3.1/95/NT/CE
Complete Collection of 3 Classic Franchises,2015,Windows XP/Vista/7/DVD
Complete Guide to Dogs,1997,Windows 3.1/95
Complete Home,1997,Windows
Complete Home Gardener,1996,DOS 3.3 and Windows 3.1/95
Compton’s 3D World Atlas Deluxe,1998,Windows
Compton’s Encyclopedia 1999,1998,Windows
Compton’s Interactive Encyclopedia,1999,Windows 3.1/95/98
Computer War,1983,Atari 400/800/1200
Concise History of the Civil War Inteactive CD-ROM,2000,Windows 95/98/NT
Conflict Global Terror,2005,Windows XPSP2
Congo The Movie Descent Into Zinj,1995,Windows 3.1
Conquest Frontier Wars,2001,Windows
Conquest of the New World (Deluxe Edition),1997,Windows
Construction,1998,Windows
Contact Manager,2002,Windows 98/ME/XP
Contract J.A.C.K,2003,Windows 98/ME/2000/XP
Conversational Spanish,1980,Atari 400/800
Corel Draw! The Best in Graphics,1993,Windows 3.1
Corel Office Professional 7,1996,Windows 95
CorelDraw 10,2001,Windows 98/2000/NT 4.0/ME
Counter Strike Source,2005,Windows 98/ME/2000/XP
Cradle of Rome,2007,Windows 98/ME/2000/XP/Vista
Create and Play: Safari,1997,Windows 3.1/95 & Mac
Creation: God’s Wonderful Gift,2001,Windows 95/98/ME and Mac
Crescent Hawks Revenge,1990,DOS 3.0
Crime Wave,1990,MS DOS
Croc: Legend of the Gobbos,1997,Windows 95/98
"Crown Jewels 10,000",2007,Windows Vista/98SE/ME/2000/XP
Cruise Ship: Tycoon,2003,Windows 98/Me/2000/XP
Crusader: No Remorse,1995,Windows
Cryostasis,2009,Windows XP SP3/Vista SP1
Crysis,2007,Windows XP/7
Crysis 3,2013,Windows Vista/7/8
Crysis Warhead,2008,Windows XP/Vista
Crysis: Maximum Edition,2009,Windows XP/ME/2000/98
CSI: 3 Dimensions of Murder,2006,Windows 98/ME/2000/XP
CSI: Crime Scene Investigation interactive crime-solving adventure,2003,Windows
CSI: Dark Motives,2004,Windows 98/ME/2000/XP
CSI: Dark Motives,2004,Windows 98/ME/2000/XP
CSI: Hard Evidence,2007,Windows 2000/XP/Vista
Curious George Young Readers’ Series,1998,Windows 95/98/ME/2000/XP Macintosh System 7.5-9.2
Curious George: Learns Phonics,2000,Windows 95/98/ME/2000/XP
Cut Throats,1984,DOS & Mac
Cyberspeed,1995,Windows
CyborGirl Pinball,1995,MS DOS 3.0
Cydonia: Mars: The First Manned Mission,1998,Windows 95/98
D-Day,2004,Windows
D!Zone 150,1995,DOS 3.3
D.A. Pursuit of Justice The Gatsby Diamond Jewelry Theft,1997,Windows 95
Daikatana,2000,Windows 95/98/NT
Danger Zone,2001,Windows 2000/985/98 & Mac
Dangerous Waters,2004,Windows 98SE/ME/2000/XP
Daring to Fly: Multi Media,1994,DOS
Dark Age of Camelot,2001,Windows
Dark Age of Camelot Platinum Edition,2004,Windows 98/ME/XP
Dark Fall the Journal,2003,Windows 95/98/2000/ME/XP
Dark Lands,1992,DOS
Dark Messiah of Might and Magic,2006,Windows XP
Dark Star One,2007,Windows 2000/XP/Vista
Dark Vampires The Shadows of Dust,2005?,Windows
Dark Void,2010,Windows Vista/XP
Darkest of Days,2009,Windows XP
Darwinia,2006,Windows 98/2000/XP
Dave Mirra Freestyle BMX,2000,Windows 95/98
Dawn of War Soul Storm,2008,Windows 2000/XP
Dawn of War: Soulstorm,2008,Windows 2000/XP
Day Trader,2001,Windows 95/98/2000
DC Universe Online,2011,Windows XP SP3
Dead Lock: Planetary Conquest,1996,Windows
Dead Space 2,2011,Windows XP/Vista/7
Dead to Rights,2002,Windows
Death Gate,1994,MS-DOS 5.0
Death Rally,1996,Windows
Deep Sea Challenge,1998,Windows 95/98
Deep Sea Tycoon,2006,Windows 98/2000/Me/XP
Defender Pro 2011,2011,Windows XP/SP2/Vista/7
Dell Magazines Crosswords,2001,Windows 95/98/2000/ME
Delrina Perform,1994,Windows 3.1/MS DOS
Delrina Perform Tracer,1991,Windows 3.1/MS DOS
Delta Card for Windows,1997,Windows 3.1
Delta Force,1998,Windows 95/98
Delta Force 2,1999,Windows 95/98/NT
Delta Force Black Hawk Down,2003,Windows
Delta Force Black Hawk Down Platinum Pack,2004,Windows
Delta Force Land Warrior,2000,Windows
Delta Force Xtreme,2005,Windows
Demigod,2009,Windows XP/Vista
Demolition Company,2010,Windows XP/Vista/7
Depths of Peril,2008,Windows Vista/XP/2000/ME/98 & Mac 10.5
Descent I & II: Definitive Collection,1997,Windows 95
Desperate Housewives the Game,2006,Windows XP
Destiny 2,2017,Windows 7/8/10
Deus Ex Game of the Year Edition,2001,Windows 98/ME/XP
Deus Ex Human Revolution,2011,Windows Vista/7
Deuse Invisible War,2003,Windows 98SE/2000/XP
Devil May Cry 4,2008,Windows XP/Vista
Diablo,1996,Windows 95
Diablo,1998,Windows 95/NT/Mac
Diablo II,2000,Windows 95/98/NT/2000
Diablo II,2000,Windows 95/98/2000
Diablo II: Battle Chest,2001,Windows XP/Vista
Diablo II: Expansion Set,2000,Windows 2000/98/95/NT
Diablo III,2012,Windows XP/Vista/7
Die Hard: Nakatomi Plaza,2002,Windows 95/98/ME
Diner Dash,2006,Windows and Mac
Diner Dash 2,2006,Windows and Mac
Disciples 3: Renaissance,2010,Windows 7/Vista/XPSP2
Disciples II Dark Prophecy,2001,Windows 98/2000/ME/XP
Disciples II: Dark Prophecy,2002,Windows 95/98/ME/2000/XP
Disciples III Renaissance,2010,Windows 7/Vista/XP
Discover English and Wonders of the World,1997,"Windows 3.1/95/NT, Mac and OS/2 Warp"
Dishonored 2 Limited Edition,2016,Windows 7/8/10
Disney 3D Adventure: Mickey Saves the Day,2000,Windows 95/98
Disney Action Game Tarzan,1999,Windows 95
"Disney Monsters, INC. Scare Island",2001,Windows 95/98/ME/XP
Disney Print Creations Collection I,2002,Windows 95/98/ME/XP
Disney Print Creations Featuring Winnie the Pooh,2002,Windows 95/98/ME/XP
Disney Print Studio: Toy Story 2,1999,Windows 95/98
Disney Winnie the Pooh Activity Center,2000,Windows 95/98 and Mac
Disney’s 102 Dalmatians Puppies to the Rescue,2000,Windows 95/98
Disney’s Action Game: Dinosaur,2001,Windows 95/98/ME
Disney’s Ariel’s Story Studio,1997,Windows 3.1/95 and Mac System 7.1
Disney’s Atlantis the Lost Empire: Lost Games,2001,Windows 95/98/ME and Mac
Disney’s Cinderella’s Dollhouse,2001,Windows 95/98 and Mac
Disney’s Dinosaur Iguahodon Pond-A-Thon,2000,Windows 95/98 & Mac 8.1
Disney’s Extremely Goofy Skateboarding,2001,Windows 95/98/ME
Disney’s Junior Games: Tigger Activity Center,2001,WIndows 95/98/ME
Disney’s Magic Artist,1997,Windows 95
Disney’s Magic Artist Studio,1999,Windows 95/98/Mac
Disney’s Print Studio The Little Mermaid,1997,Windows
Disney’s Screen Scenes,1995,Windows
Disney’s Winnie The Pooh 123s,2002,Windows 95/98/Me/XP/Mac
Disney’s Winnie the Pooh Toddler,2001,Windows 95/98/ME and Mac OS 8.6
Disney’s You Can Fly! With Tinker Bell,2001,Windows 95/98/ME/XP
Divine Destiny,1999,Windows 95/98
Divinity II,2009,Windows XP/Vista
Dogs of War,2000,???
Dogz,1997,Windows 3.1/95/Mac
Don Maddox The Franco Benoni Chess Training,2003,Windows
Donkey Kong,1983,Apple II
Doom 2016,2016,Windows
Doom 3,2004,Windows 2000/XP
Doom 3,2004,Windows 2000/XP
Doom 3: BFG Edition,2012,Windows Vista/7
Doom 3: Resurrection of Evil,2005,Windows 2000/XP
Doom II,1994,DOS
Dora the Explorer Backpack Adventure,2002,Windows and Mac
Dracula The Days of Gore,2006,Windows 98/ME/2000/XP
Dracula Unleashed,1993,MS-DOS
Dragon Age 2,2011,Windows XP/VIsta/7
Dragon Age Orgins,2009,Windows XP/Vista/7
Dragon Age: Orgins Awakening,2010,Windows XPSP3/VistaSP1/7
Dragon’s Lair,1993,DOS
Dream Chronicles 2 The Eternal Maze,2008,Windows XP/Mac
Dream Day Wedding: Married in Manhattan,2008,Windows CP/Vista CD
Dream Day Wedding: Viva Las Vegas,2009,Windows XP/Vista
Dream Fall: The Longest Journey,2006,Windows XP SP2
Driver,1999,Windows 95/NT/98
Driver Pack: Bus Driver & Truck Driver Big Rig,2010,Windows XP/7
Driver: San Francisco,2011,Windows XP/Vista/7
Duck Hunter Pro,1998,Windows 95/98
Duke Caribbean,1997,Windows
Duke Mukem Manhattan Project Total Mutant Mayhem,2002,Windows
Duke Nuke’em Forever,2011,Windows XP/7/10
Duke Nukem 3D,1996,MS DOS
Duke Nukem 3D,1996,Windows
Duke Nukem Forever,2011,Windows XP/Vista/7
Duke Nukem Manhattan Project,2002,Windows
Duke!Zone,1996,MS DOS
Dune 2000,2001,Windows 95/98
Dune II,1992,DOS
Dungeon 2 Siege,2005,Windows XP SP1
Dungeon Keeper 2,1999,Windows 95/98
Dungeon Seige II,2005,Windows XP/SP1 or newer
Dungeon Seige III,2011,Windows XP/Vista SP1/ 7
Dungeon Siege,2002,Windows
Dungeon Siege 2: Broken World,2006,Windows XP SP1
Dungeons & Bragons Online Storm Reach,2006,Windows XP
DVD Copy Plus,2002,Windows
DW Bradley’s Cyber Mage,1995,MS DOS 5.0
EA Sports Collection 2003,2002,Windows
Earth 2160,2008,Windows 98/ME/2000/XP/Vista/Direct X
Easy CD Creator Starter Kit Version 5,2002,Windows 98/NT/ME/2000/XP
Easy Photo Suite,No specified year,Windows/Mac
Editors’ Choice Collection,1997,Windows 95/DOS
Educational System Cassettes,1979,Atari 400/800
Egg vs. chicken,2005,Windows
Electronic Arts: 10 for $20,2000,Windows 95/98
Elite Darts,1998,Windows 95/98/Mac
Elite Plus,1991,DOS 2.0
Emergency 2012,2012,Windows XP/Vista/7
Emergency Room,1995,DOS
Emperor: Rise of the Middle Kingdom,2002,Windows
Empire Earth,2002,Windows
Empire Earth,2001,Windows
